Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Followed by,Preceded by
Blood Noir,Laurell K. Hamilton,2008.0,"['mystery', 'horror', 'erotic']","Blood Noir appears to take place a short time after The Harlequin; however it is not noted exactly how much time has elapsed.  There are a few main themes in the novel, which are mostly resolved by the end.
",0.0,,340.0,No,No,Anita Blake: Vampire Hunter,Skin Trade,The Harlequin
Good Omens,Neil Gaiman,1990.0,"['speculative', 'science', 'fantasy', 'comedy']"," It is the coming of the End Times: the Apocalypse is near, and Final Judgment will soon descend upon the human race. This comes as a bit of bad news to the angel Aziraphale (who was the angel of the Garden of Eden) and the demon Crowley (who, when he was originally named Crawly, was the serpent who tempted Eve to eat the apple), respectively the representatives of God and Satan on Earth, as they have become used to living their cozy, comfortable lives and have, in a perverse way, taken a liking to humanity. As such, since they are good friends (despite ostensibly representing the polar opposites of Good and Evil), they decide to work together and keep an eye on the Antichrist, destined to be the son of a prominent American diplomat stationed in Britain, and thus ensure he grows up in a way that means he can never decide between Good and Evil, thereby postponing the end of the world. Unfortunately, Warlock, the child everyone thinks is the Anti-Christ is, in fact, a perfectly normal eleven-year-old boy. Due to mishandling of several infants in the hospital, the real Anti-Christ is Adam Young, a charismatic and slightly otherworldly eleven-year-old who, despite being the harbinger of the Apocalypse, has lived a perfectly normal life as the son of typical English parents and as a result has no idea of his true powers. As Adam blissfully and naively uses his powers, creating around him the world of Just William (because he thinks that is what an English child's life should be like), the race is on to find him&mdash;the Four Horsemen of the Apocalypse assemble and the incredibly accurate (yet so highly specific as to be useless) prophecies of Agnes Nutter, seventeenth-century prophetess, are rapidly coming true. Agnes Nutter was a witch in the 17th century and the only truly accurate prophet to have ever lived. She wrote a book called The Nice and Accurate Prophecies of Agnes Nutter, Witch, a collection of prophecies that did not sell very well because they were unspectacular, cryptic and, ironically enough, all true. She, in fact, decided to publish it only so that she could receive a free author's copy. There is only one copy of the book left, which belongs to her descendant Anathema Device. Agnes was burned at the stake by a mob (because that is what mobs did at that time); however, because she had foreseen her fiery end (""Ye're tardy; I should have been aflame ten minutes since"") and had packed 80 pounds of gunpowder and 40 pounds of roofing nails into her petticoats, everyone who participated in the burning was killed instantly. Anathema teams up with Newton Pulsifer, the descendant of the man who initiated the burning of Agnes, to use the prophesies and find the Antichrist. Unfortunately, that is exactly what everyone else is trying to do, and time is running out.",87.0,8.548387096774194,288.0,No,Yes,No,,
The Probability Broach,L. Neil Smith,1996.0,"['speculative', 'science', 'fantasy', 'historical', 'alternate']"," Edward William ""Win"" Bear is a Ute Indian who works for the Denver Police Department in a version of the United States projected (by 1986) to be controlled by an anti-business, ecofascist faction complete with a new Federal Security Police (FSP, or ""SecPol"" as it is more commonly known) reminiscent of the Gestapo. Called to investigate the unusual murder of physicist Vaughn Meiss, Bear eventually finds himself projected into the NAC by means of the ""Probability Broach,"" an interdimensional conduit originally developed as a means for interstellar travel in the NAC by the dolphin physicist Ooloorie Eckickeck P'Wheet and her human compatriot, the gorgeous Dr. Dora Jayne Thorens. Win encounters his NAC counterpart, Edward William ""Ed"" Bear, and Ed's neighbors, most notably the beautiful ""healer"" Clarissa Olson and the incorrigible Lucy Kropotkin, who is later revealed to be 135 years old. Lucy's life becomes the vantage point by which Win is acclimated to life in the NAC and Laporte (the NAC equivalent to Denver). Win and Ed unravel the mystery of the Meiss murder, learning that he was killed to hide an effort by SecPol to conquer the NAC with the help of Hamiltonian forces on the NAC side, led by John Jay Madison, a.k.a. the infamous Prussian expatriate and 1918 war hero Manfred von Richthofen, known here as the Red Knight of Prussia. Win, Ed, Lucy and Clarissa lead the effort to notify the nascent NAC government of the threat. En route to the meeting of the Continental Congress, Ed & Clarissa are kidnapped, leaving Win & Lucy to reveal the plot. After fighting (and winning) a duel with a SecPol agent, Win & Lucy rescue their friends, and track the Madison and the Hamiltonians to a small town outside Laporte. Win sets off an explosion that eliminates all of the Hamiltonians. Win elects to remain in the NAC and marries Clarissa. Ed marries Lucy (who at the time of the story was awaiting a delayed ""regeneration"" due to an accident involving massive radiation exposure) and sets out for the asteroid belt to build a new life for themselves on the NAC frontier. The Continental Congress agrees to begin a massive propaganda campaign to force Win's United States (and the rest of the globe) towards a similar Gallatinist revolution.",3.0,8.333333333333334,,No,No,North American Confederacy,,"The Venus Belt (by publication), The Nagasaki Vector (by chronology)"
Chasm City,Alastair Reynolds,2001.0,"['speculative', 'science', 'fantasy', 'hard']"," Chasm City is framed and largely written in the voice of Tanner Mirabel, a security expert who has come to Chasm City to avenge the death of his former client's wife at the hands of a ""postmortal"" noble named Argent Reivich. Tanner arrives to find that Yellowstone, the most advanced civilization in human history, has descended into squalor; an alien nanotech virus known as the Melding Plague has wreaked havoc throughout the system. Chasm City, a dense forest of mile-high shapeshifting skyscrapers, has melted into a slum. The Glitter Band, a sparkling diorama of ten thousand orbital habitats, has been reduced to a ""Rust Belt"" of a few hundred survivors, mostly primitive and pre-nanotech antiques. In this chaos of plague and desolation, Tanner seeks his prey, only to discover that Reivich is more clever than he originally thought. In the midst of his hunt, he begins experiencing virus-induced flashbacks from the life of Sky Haussman, the founder of his home world, Sky's Edge, who is both revered and reviled for the crimes he committed for his people. From the depths of the gas plume at the heart of Chasm City, to the aristocratic canopy spanning what remains of the skyscrapers, Mirabel begins to unravel the mystery of the Melding Plague.",1.0,,,No,No,Revelation Space,Revelation Space,Redemption Ark
Drowned Ammet,Diana Wynne Jones,1977.0,"['speculative', 'fantasy', 'childrens', 'high']"," The book begins with the birth of Alhammit Alhammitson, or Mitt, in South Dalemark, near a seaport called Holand. When Mitt is a young child, his family are evicted from their farm when the rent is doubled by Earl Hadd, the cruel and tyrannical ruler of South Dalemark. The entire family is forced to move to an unpleasant tenement in the city of Holand, where Mitt's father joins the Free Holanders, a resistance against Earl Hadd. However, after a raid on a warehouse which goes fatally wrong, Mitt's father disappears, most likely killed by the soldiers. Mitt and his mother Milda are convinced that three of the elder Free Holanders, Siriol, Dideo and Ham, betrayed the younger members to the Earls soldiers because they were scared of the consequences of raiding the warehouse. Mitt is determined to take revenge on them for causing his father's death, and to do this, he joins the Free Holanders, hoping to bring them down from within. He ends up working on a fishing boat with Siriol out of Holand harbor. Milda, meanwhile, marries Hobin, a well-off gunsmith. Mitt plans to take revenge on the Free Holanders by assassinating Earl Hadd with a homemade bomb during the annual Sea Festival, then letting himself be caught and, in turn, betraying the Free Holanders. Mitt's attempt fails miserably, when the Earl's youngest son, Navis, kicks away the bomb that Mitt planted at the Earl's feet, but the Earl is killed anyway by a sniper with a long-range gun, shooting from one of the many boats in the harbor. Watching the festival are Navis's children, Ynen and Hildrida (Hildy). Hildy is furious with her father, since he had allowed her to be betrothed to Lithar, Lord of the Holy Islands, whom she has never met. After the assassination, she asks the new Earl, Harl, to break off her engagement, but he refuses. To get back at them, she and Ynen decide to make it look as if they'd run away and gone for a sail on her new boat, the Wind's Road. Having been seen and recognized during the Earl's assassination, Mitt is forced to flee for his life. He hides on a magnificent boat—the very same one that Ynen and Hildy are running away on. They take the ship out of Holand harbor, with Mitt stowing away beneath deck, and when they are sufficiently far out to sea, Mitt shows himself, and demands that they take him to the North, where he can hide from the Earl's soldiers. Although the two are initially uncooperative, Mitt does his best to convince them that he is a rough, tough freedom fighter who will shoot them if he gets the chance; he partially succeeds, and Hildy and Ynen agree to take him North, if only because he has a gun, given to him by Hobin. On the way North the three find, floating in the sea, the wheat figure of Poor Old Ammet, which was thrown in the sea during the Festival. This is considered good luck, and so they take him on board, lashing him to the prow as a figurehead. As well as this, Mitt has a small wax figure of Poor Old Ammet's consort, Libby Beer, which they attach to the stern. That night they weather a dreadful autumn storm with the help the two demigods, Poor Old Ammet and Libby Beer. After the storm has passed, they come across a lifeboat, with one sailor aboard. After a few hours in the man's company, Mitt realizes that not only is the sailor the man who shot Earl Hadd from the harbor, he is also Mitt's own long-lost father. Mitt's father, who turns out to be the actual betrayer of the Freedom Fighters and a truly bad person, forces them to take him to the Holy Islands. He plans to deliver Hildy to her would-be fiance, the Lord of the Holy Islands, the man she ran away from home to avoid marrying. Hildy is determined to stop this, but before they can do anything, they arrive in the Holy Islands. Upon being told the name of the Wind's Road, the Holy Islanders say that a great one ""will come on the wind's road with a great one before him and behind."" Hildy and Ynen are taken prisoner, but Al forces Lithar, who is a childish imbecile, to have Mitt killed. The Holy Islanders refuse to harm him, so they maroon him on the uninhabited Holy Island. Hildy, meanwhile, meets with Libby Beer herself. Libby tells her that, if she wishes to return to the Holy Islands, she must trust Mitt. Hildy reluctantly agrees. On Holy Island, Mitt encounters the two demigods in person and learns their secret names. When invoked in dire danger, the secret names produce cataclysmic effects that explain the folk names by which the two demigods are called on Holy Islands: the Earth Shaker for Poor Old Ammet and She Who Raised the Islands for Libby Beer. Meanwhile, Hildy and Ynen are re-united with Navis, who tells them that they were lucky to escape Holand alive, as Harl had been planning to kill them. Al is about to shoot all of them when Mitt arrives. He invokes the lesser name of Poor Old Ammet, causing a great storm, during which they manage to escape. From the Holy Islanders they acquire a boat to take them North. Before leaving, Mitt promises Poor Old Ammet that he will return to Holy Islands as a friend, not as a conqueror.",1.0,8.0,255.0,No,No,Dalemark Quartet,Cart and Cwidder,The Spellcoats
Through Violet Eyes,Stephen Woodworth,2004.0,"['speculative', 'science', 'crime']"," The novel is set in an alternate present-day setting where a small percentage of people are born with violet irises and the ability to channel the dead. Naturally, the government has stepped in and regulated their lives, using them as tools in murder trials. When it becomes clear that a serial killer is targeting the Violets themselves, FBI agent Dan Atwater is paired with Natalie Lindstrom, a Violet, to investigate. Moments after dying, the victims take over Natalie's consciousness, bringing their tale of the Faceless Man who killed them and their suspicion that he may be working with someone on the other side.",1.0,,,No,Yes,No,,
Treasure,Clive Cussler,1988.0,"['speculative', 'thriller', 'adventure', 'techno']"," The book starts with a historical prologue in which Julius Venator, a Roman, along with a group of Roman soldiers and slaves, sail in a fleet of ships ferrying the treasures from the Library of Alexandria before its destruction to a secret location to be buried in underground caverns. After the treasures are buried the people, the Roman soldiers, and slaves are all slaughtered by the natives. While one small ship manages to get away, they never reach land and the secret of the treasure is lost. The story then shifts to an envoy of the US President having a secret meeting with a would be Aztec dictator Topiltzin. He kills the envoy, and sends his skin and heart back to the President. The plot then shifts to a Middle Eastern terrorist secretly hijacking a plane carrying Hala Kamil, the new United Nations Secretary-General, the hijacker bails out of the plane after ensuring that the plane crash lands in Greenland, where Dirk Pitt, Al Giordino, and Rudi Gunn are trying to locate a sunken Soviet submarine. Also in the area is Lily Sharp, who discovers an ancient coin. They rescue Hala from the plane wreck. As the plot unfolds, several more attempts are made on Hala’s life, since she is trying to stop would-be dictator Akhmad Yazid from taking over Egypt. Dirk is distracted by the promise of treasure, however. Locating a shipwreck in Greenland, they soon find a tablet detailing a mission to hide the treasure of the library at Alexandria. As Dirk, Al, and the Special Operations Forces rescue Hala Kamil from a hijacked ship in the Straits of Magellan, Hiram Yaeger locates the treasure—in Texas. The final stretch of the novel involves Dirk trying to hide the treasure from Yazid and his brother, Topiltzin, a would-be Aztec dictator. Eventually, the treasure is discovered and Yazid, Topiltzin and their henchmen are killed.",4.0,8.666666666666666,292.0,No,Yes,No,,
Lost Light,Michael Connelly,2003.0,"['speculative', 'mystery', 'suspense', 'crime']"," Lost Light is the first novel set after Bosch retires from the LAPD at the end of the prior story. Having received his private investigator's license, Bosch investigates an old case concerning the murder of a production assistant on the set of a film. The case leads him back into contact with his ex-wife Eleanor Wish, who is now a professional poker player in Las Vegas, and Bosch learns at the end that he and Eleanor have a young daughter. The poem referenced in this work is from Ezra Pound's ""Exile's Letter:"" What is the use of talking, and there is no end of talking, There is no end of things in the heart.",45.0,8.0,368.0,No,No,"Harry Bosch, #9",City of Bones,The Narrows
Outlander ,Diana Gabaldon,1991.0,"['science', 'fantasy', 'historical', 'romance']","In 1946, after working apart during the Second World War, former British Army nurse Claire Randall and her husband Frank Randall, a history professor, go on a second honeymoon to Inverness, Scotland. Frank conducts research into his family history and Claire goes plant-gathering near standing stones on the hill of Craigh na Dun. Investigating a buzzing noise near the stones, she touches one and faints; upon waking, she encounters Frank's ancestor, Captain Jack Randall. Before Captain Randall can attack her, he is knocked unconscious by a highlander who takes Claire to his clansmen. As the Scots inexpertly attend their injured comrade Jamie, Claire uses her medical skill to set Jamie's dislocated shoulder.  The men identify themselves as members of Clan MacKenzie, and Claire eventually concludes that she has traveled into the past.  She represents herself as an English widow who is traveling to France to see her family. The Scots do not believe her and take her to Castle Leoch, where Claire searches for a way to return to her own time.
",0.0,,850.0,No,No,Outlanderseries,Dragonfly in Amber,
Charlie and the Great Glass Elevator,Roald Dahl,1972.0,"['speculative', 'science', 'fantasy', 'childrens']"," The book begins where Charlie and the Chocolate Factory ends: Willy Wonka has just given Charlie the ownership of his factory, and they crash through the roof of Charlie's house with a flying elevator to inform his family of the good news. Charlie's grandparents (except Grandpa Joe who had already gotten out of the bed) are nervous about going inside the travelling elevator, and after twenty years in bed, they refuse to get up. The bed is thus pushed into the elevator, which then takes off. At a critical moment during the return trip to the factory, a panicking Josephine grabs Wonka away from the controls, which results in the elevator, along with its occupants, being sent into an Earth orbit. The elevator circles the planet until Wonka sees the chance to link it with the newly-launched Space hotel, a creation of the United States government. In the White House, President of the United States Lancelot R. Gilligrass, together with Vice President Elvira Tibbs (who was once Gilligrass's nanny) a Those shape-changers, Wonka tells the others, are predatory extraterrestrials called Vermicious Knids that have infested the Space Hotel. Since they can't reach Earth's surface to prey on its natives because they burn up in the atmosphere as shooting stars, the Knids are waiting in the Space Hotel for the new arrivals. Meanwhile the shuttle docks with the Space Hotel and the staff and astronauts go aboard. The Knids reappear and devour some of the humans, but most of them escape back to the spacecraft. Capable of flying in the vacuum of space at improbable speeds, they pursue the survivors but are unable to board the space shuttle. Instead, they dive-bomb the shuttle's engines and hull, destroying the rockets as well as the cameras and radio antenna. Without its engines, the shuttle is unable to escape the Knids by breaking orbit and returning to Earth. Seeing all this from the relative safety of the Great Glass Elevator (which is ""Knid-proof"" - one Knid bruised itself badly on the glass and has been chasing the Elevator ever since), Charlie suggests that he and his companions use the Elevator to tow the shuttle back to Earth. In agreement, Wonka pilots the Elevator into range, whereupon Charlie's Grandpa Joe connects the two vessels by means of a steel cord. The Knids change into living segments of a towing line, with which they intend to drag the two spacecraft away, while the bruised Knid wraps his body around the Elevator to provide an anchor for this operation. Willy Wonka activates the Elevator's retro-rockets and plunges to Earth, taking the shuttle and Knids, all of whom burn up due to friction with the atmosphere during re-entry. At the right moment Wonka releases the shuttle, which floats safely home. The Elevator then crashes into the chocolate factory, ending its flight in the Chocolate room. Since Charlie was presented the factory as a gift by Wonka, he wants his family to help him run it. Georgina, George and Josephine still refuse to move out of their bed. Wonka proposes a pill he invented, Wonka-Vite, to make them young again. (He says that it is too valuable to waste on himself, which is why he needed an heir in the first place.) The three bedridden recipients get greedy and take much more than they need to. Instead of becoming a mere twenty years younger, the three grandparents lose eighty years, making George one year old, Josephine three months, and Georgina absent altogether, having become ""minus two"" (she was seventy-eight). Charlie and Wonka journey in the Great Glass Elevator to Minusland – a realm that Wonka discovered when his earlier attempts to create Wonka-Vite turned all the Oompa-Loompas he tested it on to become Minuses as the formula was too strong – to get Georgina back with Vita-Wonk, a sprayable compound that makes people older. Minusland is a dark, gloomy region far beneath the surface of the Earth, filled up entirely with fog, and inhabited only by the invisible and highly dangerous Gnoolies, creatures which, with a single bite, turn their victims into more Gnoolies (Wonka states that the process, a form of long division, takes a long time and is very painful). After administering an even worse overdose of Vita-Wonk to Grandma Georgina, they return to the upper world. There, Georgina has become 358 years old. Her memory entails a lot of history, beginning with the Pilgrim voyage in the ship ""Mayflower"" (which Wonka and the Buckets use to pinpoint her exact age) and ending in the present moment, spanning over many wars and truces in between. Using a more cautious dose of Wonka-Vite, her companions subtract much of this age from her, leaving her at seventy-eight as she was before. During the process of becoming younger, she shouts several sentences, all having to do with American History, including: ""We've beaten them! Yorktown's Surrendered! We've kicked them out, those dirty British!"", ""Gettysburg! General Lee is on the run!"", ""He's dead, he's dead, he's dead!"", ""Lincoln! There goes the train..."" Charlie and Mr. Wonka administer enough Vita-Wonk to recall Josephine and George to their original age. The grandparents are still incensed with Wonka's adventurous nature. They refuse, as before, to come out of bed. Then mysterious visitors arrive in a helicopter. The Oompa-Loompas give Wonka a letter from President Gilligrass, congratulating the occupants of the Great Glass Elevator on saving the lives of the shuttle astronauts and hotel staff and inviting them as the guests of honor to a White House dinner. The grandparents don't want to be left out, so they leap out of bed and join Charlie, Grandpa Joe, Wonka, and Charlie's parents to enter the helicopter sent to pick them up.",3.0,8.0,202.0,No,Yes,No,Charlie and the Chocolate Factory,
The Blunderer,Patricia Highsmith,1954.0,"['mystery', 'suspense', 'thriller']"," For years, mild mannered lawyer Walter Stackhouse has suffered as a result of his neurotic, unstable wife Clara, whose constant alienation of all his friends, coupled with her penchant for overly dramatic gestures, has slowly driven him to hate her. After he becomes infatuated with the sweet and sensuous music teacher Ellie Briess, Clara jealously attempts suicide via an overdose, forcing him into her arms once again. However, he eventually stands his ground and demands a divorce. When Clara subsequently turns up dead, having fallen off a cliff during a bus trip to see her dying mother, Walter finds himself blundering around in the dark as the official investigation ensues. He admits that he stalked her bus in his car, whilst daydreaming about the possibility of killing her at the first stop, just as Melchior J. Kimmel, a 40-year-old bookshop manager, murdered his own domineering partner Helen, an unsolved crime that Walter had read of in the paper and grown fascinated by. Both men soon encounter the formidable, possibly psychotic Lieutenant Lawrence Corby, a police officer with savage ambition who is convinced of their guilt and believes that they are somehow in cahoots with one another. He soon begins encroaching on his suspects' lives, sowing the seeds of doubt into the minds of those they care for and even ferociously assaulting Kimmel.",2.0,8.5,288.0,No,Yes,No,,
Blood Rites,Jim Butcher,2004.0,"['speculative', 'fantasy', 'mystery']"," After accidentally acquiring a stray puppy from a kidnapped litter of Tibetan temple dogs, Harry Dresden accepts a job from his White Court acquaintance, Thomas Raith, to investigate a series of deaths on a pornography film set led by director Arturo Genosa. After an entropy curse arrives and almost kills two more people, Lara Raith, another White Court vampire, appears as a replacement actress, discovers Dresden's presence, and soon decides to kill both Harry and Thomas for being involved. However, a surprise Black Court attack forces a truce between them and they flee to the Raith's Chicago mansion for safety. There, Dresden learns that Thomas is his half-brother and escapes an assassination attempt by Lord Raith, Thomas' and Lara's father. Soon after, Dresden finds a pattern to the curses and prepares a counterattack, but one of Genosa's ex-wives prevents him from saving the next target and frames him for the woman's death. He escapes and works out that all of Genosa's ex-wives are behind the curse, with Lord Raith supporting them. Before the next curse can be unleashed against him, Dresden calls upon Murphy to help him stop Lord Raith and maneuvers Lara to save them all from her father. At the same time, Harry has discovered a newly-established nest of Black Court vampires, led by a very old and dangerous vampire named Mavra. To wipe out the nest before it becomes entrenched, he enlists the help of his friend Karrin Murphy, the mercenary Jared Kincaid, and his mentor Ebenezar McCoy, but discovers that Kincaid and McCoy have already met. Despite almost getting blown up and burned to death, the crew successfully battle Mavra, destroy the nest, and rescue the children that had been taken as hostages. At the end, Thomas saves Harry by paying Kincaid's fee using his entire savings.",1.0,9.0,372.0,No,Yes,The Dresden Files,Death Masks,Dead Beat
The Wanderer,Fritz Leiber,1964.0,"['speculative', 'science', 'fantasy']"," The novel is set in a future a few decades ahead of the 1960s, when it was written. The USA is still competing with the Soviet Union. Both have functioning bases on the Moon, and the Soviets have gained the lead in sending an expedition to Mars. From the point of view of most of the population of the Earth, a new planet appears out of nothing close to the Moon, shortly after a total lunar eclipse. Over a period of few days the planet appears to consume the Moon. On Earth, the new planet's gravity causes death and destruction as it raises huge ocean tides and causes earthquakes and volcanic eruptions. Flying saucers appear in the skies, apparently trying to mitigate some of the disastrous effects. Then after a spectacular battle in space between the new planet and another, the skies are empty again. Earth is left without a Moon. The novel follows the lives of people around the globe. There is a man attempting a solo crossing of the Atlantic ocean, a smuggler operating off the coast of Vietnam, two friends in England, a trio of drug addicts in New York City, and the military controllers of the USA Moon mission, deep in a bunker somewhere near Washington DC. The new planet is referred to by everybody as simply ""the Wanderer"". The main protagonists are three longtime friends. Paul Hagbolt is escorting Margo Gelhorn (and her cat, Miaow) to observe the lunar eclipse at an observatory in California. Their friend, and Margo's fiance, is Don Merriam, one of the American astronauts at the Moon base. Following on a whim a sign advertising a ""flying saucer symposium"", Paul and Margo fall in with a group of intellectuals, dreamers, charlatans and misfits. At that point events overtake them. The new planet appears and triggers an earthquake that buries their cars in a landslide. They must avoid tsunamis, more earthquakes, roving mobs and flying saucers to survive. On the Moon Don Merriam is the only one to escape the destruction of the moonbase. He tries to take off in one of the base's spaceships, only to fall through the Moon itself as it splits into two under the influence of the new planet. His ship is eventually captured by the inhabitants of the new planet. Events take a bizarre turn when the group of saucer enthusiasts is faced with a tsunami. A flying saucer appears, and a cat-like being uses some kind of gun to repel the waves. Then the being uses the same device to pull Paul, who is holding Miaow, into the saucer. At the same time the gun falls into the hands of the people on the ground. In the saucer Paul meets a being calling itself Tigerishka. A large, female telepathic feline creature, she initially mistakes Miaow as the intelligent being whose thoughts she can hear, and Paul as a ""monkey"". Realizing her mistake, she regards Paul with contempt. Monkey-beings are not well regarded by her people. However she slowly warms to him, and explains why her planet has appeared to consume the moon. Like many of the human characters, her people are intellectuals, dreamers, charlatans and misfits. They belong to a culture that spans the Universe, has achieved immortality, and can construct planets and traverse hyperspace. They can create bodies for themselves that reflect the origins of their races, such as Tigerishka's cat-form. However they are fleeing their culture's police. Their culture rejects nonconformists, instead devoting itself to ensuring that intelligent life survives to the end of time. Tigerishka's people want to explore hyperspace, and tinker with space, time and the Mind. Their flight has brought them to Earth orbit simply to refuel. Huge amounts of matter must be converted to energy to power their hyperspace drive and their weapons. As alien as Tigerishka is, Paul becomes besotted with her. Tigerishka eventually yields to his advances. At the same time, Don Merriam has been rescued with his ship by the Wanderer's other spaceships. He is reunited with Paul aboard Tigerishka's ship. Now they must testify in the Wanderer's trial, for the police have arrived. A second planet, ""The Stranger"", colored a dull gray where the Wanderer is bright purple and yellow, appears and threatens battle. Don and Paul give their testimony as to the good treatment they have seen, along with thousands of other humans appearing by some kind of holographic projection. However the trial goes badly. Paul and Don are evacuated in Don's ship, placed into position close to Earth by Tigerishka. Tigerishka takes Miaow with her back to her planet. Then the final battle takes place, and both planets disappear. In the final scene, Margo and her companions walk to Vandenberg Spaceport as Don's ship comes in to land.",4.0,8.0,,No,Yes,No,,
Doomsday Book,Connie Willis,1992.0,"['speculative', 'science', 'time travel']"," Kivrin Engle, a young historian specializing in medieval history, persuades her reluctant instructor, Professor James Dunworthy, and the authorities running the project to send her to Oxford in 1320, encouraged by Professor Gilchrist, who takes charge of the project in the absence of the department head to try to enhance his own prestige. This period had previously been thought too dangerous, because it stretched the time travel net 300 years earlier than it had been used before. She will be the first historian to visit the period, and is confident that she is well prepared for what she will encounter. Shortly after sending Kivrin to the 14th century, Badri Chaudhuri, the technician who set the time travel coordinates for Kivrin's trip, collapses suddenly, an early victim of a deadly new influenza epidemic which severely disrupts the university and eventually leads to the entire city being quarantined. Infected with the same influenza despite her enhanced immune system, Kivrin falls ill as she arrives in the past. She awakens after several days of fever and delirium at a nearby manor, whose residents have nursed her. Unfortunately, the move has caused her to lose track of where the ""drop point"" is; in order to return home, she must return to the exact location where she arrived when the gateway opens at a prearranged time. The narrative switches between Kivrin in the fourteenth century and 2054/2055 Oxford during the influenza epidemic. Kivrin discovers many inconsistencies in what she ""knows"" about the time: the Middle English she learned is different from the local dialect, her maps are useless, her clothing is too fine, and she is far too clean. She can also read and write, skills unusual even for the educated men of the time and rare among women. As nuns are the only women commonly possessing these skills, some family members conclude Kivrin has fled her convent and plan to return her to the nearest convent. She fakes amnesia, afraid the background story she originally planned out would have similar inconsistencies, and takes up a job as a companion for two girls in the manor as she tries to find the ""drop point"". In Oxford, fears grow that the virus causing the epidemic had been transmitted from the past via the time travel net, despite its scientific impossibility. This causes the acting head of the university, Mr. Gilchrist, to order the net closed, effectively stranding Kivrin in the past, even as Mr. Dunworthy tries frantically to reverse the decision. At parallel points in their respective narratives, Kivrin and Mr. Dunworthy realize that she has been sent to England at the wrong time as a result of the technician's illness: she has arrived during the Black Death pandemic in England in 1348, more than 20 years later than her intended arrival. The Black Death cuts a swathe through the Middle Ages just as the influenza overwhelms the medical staff of the 21st century. Many who could have helped Mr. Dunworthy fall ill and die, including his good friend Doctor Mary Ahrens, who dies even as she tries to save the other influenza victims. Mr. Dunworthy himself is stricken by the disease. In the fourteenth century, two weeks after Kivrin's arrival, a monk infected with the plague comes to the village. Within days, many residents of the village fall ill. Kivrin tries to care for the victims, but, lacking modern medicines, she can do little to ease their suffering. The arranged date for retrieval passes with neither side able to make it. At last, in desperation, Mr. Dunworthy arranges with Badri to send himself back in time to rescue Kivrin. In the Middle Ages, Kivrin can only watch while all the people she has come to know die from the Black Death, the last being Father Roche, the priest who found her when she was sick and brought her to the manor. Father Roche insisted on staying with his parishioners, despite Kivrin's attempts to arrange an escape, as he feels it his duty to care for them although it may mean his own death. As Roche lies dying in the chapel, he reveals that he was near the drop site when Kivrin came through, and misinterpreted the circumstances of her arrival (shimmering light, condensation, a young woman appearing out of thin air) as God delivering an angel to help during the mysterious illness sweeping through England. He dies still believing that she is God's messenger to him and his congregation, while Kivrin comes to appreciate his selfless devotion to his work and to God. As she sits in the graveyard, unable to dig a grave or finish tolling the peal for his death, her rescuers, Mr. Dunworthy and Colin (the adventurous great-nephew of Doctor Mary Ahrens), arrive from the future (having found a horse and located her by the sound of the bell). They barely recognize her: her hair is cropped short (from when she was sick with the flu), she is wearing a boy's jerkin, and she is covered in dirt and blood from tending to the sick and dying. The three return to 21st-century England shortly after New Year's Day.",36.0,8.928571428571429,,No,No,No,,
