author,books,genres,subgenres,classic,narrator
Helene Wecker ,['The Golem and the Jinni'],['Fantasy'],"['Historical Fiction', 'Urban Fantasy', 'Magic']",no,omniscent
Marguerite Duras,['The Lover'],['Romance'],['Historical Fiction'],classic,first-person
Brom,"['The Child Thief', 'Krampus: The Yule Lord']","['Fantasy', 'Horror']","['Urban Fantasy', 'Magic']",no,first-person
John Crowley,"['Little, Big']","['Fantasy', 'Science Fiction']",['Magic'],no,first-person
Michelle Paver,"['Wolf Brother', 'Ghost Hunter', 'Soul Eater', 'Outcast', 'Oath Breaker', 'Spirit Walker', 'Dark Matter']","['Fantasy', 'Horror']","['Historical Fiction', 'Magic', 'Paranormal']",no,third-person
Katherine Applegate,"['The One and Only Ivan', 'Crenshaw', 'Search for Senna', 'Gateway to the Gods', 'Realm of the Reaper', 'Mystify the Magician', 'Fear the Fantastic', 'Discover the Destroyer', 'Land of Loss', 'Brave the Betrayal', 'Enter the Enchanted', 'Understand the Unknown', 'Inside the Illusion']","['Fantasy', 'Science Fiction', 'Horror']","['Realistic Fiction', 'Urban Fantasy', 'Magic']",no,third-person
Susan Hill,"['The Woman in Black', 'The Small Hand', 'Mrs de Winter']","['Horror', 'Fantasy', 'Romance']","['Historical Fiction', 'Paranormal']",classic,omniscent
Guillermo del Toro,"['The Strain', 'The Fall']","['Horror', 'Fantasy', 'Science Fiction']","['Vampires', 'Paranormal', 'Post Apocalyptic']",no,third-person
Camilla Isley ,"['I Have Never', 'Love Connection', 'A Sudden Crush', ""Let's Be Just Friends""]",['Romance'],['Contemporary Romance'],no,third-person
D.J. MacHale ,"['The Merchant of Death', 'The Never War', 'Black Water', 'The Rivers of Zadaa', 'The Reality Bug', 'The Light', 'The Quillan Games', 'The Pilgrims of Rayne', 'Storm', 'The Monster Princess', 'The Blood', 'The Black']","['Fantasy', 'Science Fiction', 'Horror']","['Magic', 'Time Travel', 'Historical Fiction', 'Paranormal', 'Post Apocalyptic', 'Monsters']",no,third-person
Soman Chainani ,"['The School for Good and Evil', 'The Last Ever After', 'A World Without Princes', 'One True King', 'A Crystal of Time', 'Quests for Glory']","['Fantasy', 'Romance']",['Magic'],no,omniscent
Zack Love ,"[""Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC (Back When Phones Weren't So Smart)"", 'The Syrian Virgin']",['Romance'],"['Comedy', 'Contemporary Romance', 'Historical Fiction', 'Historical Romance']",no,first-person
Joseph Delaney ,"['Revenge of the Witch', 'Curse of the Bane', 'Night of the Soul Stealer', ""The Spook's Mistake"", 'Rage of the Fallen', 'Attack of the Fiend', ""The Spook's Sacrifice"", ""The Spook's Blood"", 'I Am Grimalkin', 'I Am Alice', 'Slither', ""The Spook's Revenge""]","['Fantasy', 'Horror']","['Magic', 'Paranormal']",no,first-person
Lee Matthew Goldberg ,['The Ancestor'],['Science Fiction'],['Historical Fiction'],no,third-person
Kresley Cole ,"['No Rest for the Wicked', 'If You Deceive', 'If You Dare', 'If You Desire']","['Romance', 'Fantasy']","['Paranormal Romance', 'Paranormal', 'Vampires', 'Urban Fantasy', 'Magic', 'Historical Romance', 'Historical Fiction']",no,third-person
K.A. Tucker ,"['Ten Tiny Breaths', 'One Tiny Lie', 'The Simple Wild', 'Five Ways to Fall']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,third-person
Sally Green ,"['Half Bad', 'Half Wild', 'Half Lost']","['Fantasy', 'Romance']","['Paranormal', 'Magic', 'Urban Fantasy']",no,first-person
Jessica Park ,"['Flat-Out Love', 'Left Drowning', 'Flat-Out Celeste', 'Restless Waters']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,omniscent
Piers Anthony,"['On a Pale Horse', 'A Spell for Chameleon', 'Golem in the Gears', 'Night Mare', 'Dragon on a Pedestal', 'Split Infinity', 'With a Tangled Skein', 'Castle Roogna', 'Being a Green Mother', 'Bearing an Hourglass', 'Centaur Aisle', 'If I Pay Thee Not in Gold', 'Ogre, Ogre', 'Crewel Lye: A Caustic Yarn', 'Roc and a Hard Place', 'Man from Mundania', 'Vale of the Vole', 'Steppe', 'And Eternity', 'For Love of Evil', 'Wielding a Red Sword', 'The Source of Magic', 'Blue Adept', 'Zombie Lover', 'Phaze Doubt', 'Unicorn Point', 'Geis of the Gargoyle', 'Robot Adept', 'Harpy Thyme', 'Question Quest']","['Fantasy', 'Science Fiction', 'Romance']","['Urban Fantasy', 'Magic', 'Paranormal', 'High Fantasy', 'Comedy', 'Time Travel', 'Epic Fantasy', 'Historical Fiction', 'Zombies', 'Vampires']",no,third-person
Rachel Cohn,"[""Dash & Lily's Book of Dares"", ""Nick & Norah's Infinite Playlist"", 'Gingerbread', ""Naomi and Ely's No Kiss List"", 'You Know Where to Find Me', 'Cupcake', 'Shrimp']",['Romance'],['Realistic Fiction'],no,third-person
Paula McLain ,['The Paris Wife'],['Romance'],['Historical Fiction'],no,omniscent
Beth Fantaskey ,"[""Jessica's Guide to Dating on the Dark Side""]","['Romance', 'Fantasy']","['Vampires', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,first-person
Kasie West ,"['The Distance Between Us', 'On the Fence', 'The Fill-In Boyfriend', 'P.S. I Like You', 'Pivot Point', 'Love, Life, and the List', 'By Your Side', 'Moment of Truth', 'Listen to Your Heart', 'Fame, Fate, and the First Kiss', 'Lucky in Love']","['Romance', 'Fantasy', 'Science Fiction']","['Realistic Fiction', 'Contemporary Romance', 'Paranormal', 'Time Travel']",no,omniscent
Sara Donati ,"['Into the Wilderness', 'Dawn on a Distant Shore', 'Lake in the Clouds', 'Fire Along the Sky', 'Queen of Swords']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,first-person
Kathleen Winsor,['Forever Amber'],['Romance'],"['Historical Fiction', 'Historical Romance']",classic,third-person
Victoria Hislop,"['The Island', 'The Return']",['Romance'],['Historical Fiction'],no,third-person
Richard K. Morgan,"['Altered Carbon', 'Market Forces', 'Woken Furies', 'The Steel Remains', 'Broken Angels', 'The Cold Commands']","['Science Fiction', 'Fantasy']","['Cyberpunk', 'Epic Fantasy', 'High Fantasy']",no,first-person
Stephen R. Donaldson,"[""Lord Foul's Bane"", 'The Mirror of Her Dreams', 'A Man Rides Through', 'The Gap Into Conflict: The Real Story', 'The Power That Preserves', 'The Illearth War', 'The Last Dark', 'The Gap Into Ruin: This Day All Gods Die', 'The One Tree', 'White Gold Wielder', 'The Wounded Land', 'The Gap Into Madness: Chaos and Order', 'The Gap Into Power: A Dark and Hungry God Arises']","['Fantasy', 'Science Fiction', 'Romance']","['Epic Fantasy', 'High Fantasy', 'Magic', 'Space', 'Hard Science Fiction']",no,third-person
Gemma Malley,"['The Declaration', 'The Resistance', 'The Legacy']","['Science Fiction', 'Romance', 'Fantasy']",['Post Apocalyptic'],no,third-person
Robert Harris ,['Fatherland'],['Science Fiction'],['Historical Fiction'],no,first-person
Kerri Maniscalco ,"['Stalking Jack the Ripper', 'Hunting Prince Dracula']","['Horror', 'Romance', 'Fantasy']",['Historical Fiction'],no,third-person
Guy de Maupassant,['Bel-Ami'],['Romance'],['Historical Fiction'],classic,omniscent
G.D. Falksen ,['Blood in the Skies'],"['Fantasy', 'Science Fiction']","['Post Apocalyptic', 'Zombies']",no,third-person
Justina Chen ,"['North of Beautiful', 'Girl Overboard']",['Romance'],['Realistic Fiction'],no,third-person
J.G. Ballard,"['The Drowned World', 'The Crystal World', 'The Best Short Stories']","['Science Fiction', 'Fantasy']","['Post Apocalyptic', 'Cyberpunk']",no,first-person
Roy Huff ,"['The Rise of Mallory', 'The First Pillar', 'The City of Worms']","['Fantasy', 'Science Fiction']","['Time Travel', 'Paranormal', 'Urban Fantasy']",no,third-person
Aporva Kala ,['The Chronicle of Sapta Sindhu'],['Romance'],['Historical Fiction'],no,third-person
Robert Kirkman,"['The Walking Dead, Vol. 1: Days Gone Bye', 'The Walking Dead, Book One', 'The Walking Dead, Compendium 1', 'Rise of the Governor', 'The Walking Dead, Vol. 2: Miles Behind Us', 'The Walking Dead, Vol. 3: Safety Behind Bars', 'The Walking Dead, Vol. 12: Life Among Them', ""The Walking Dead, Vol. 4: The Heart's Desire"", 'The Walking Dead, Vol. 5: The Best Defense', 'The Walking Dead, Vol. 6: This Sorrowful Life', 'The Walking Dead, Vol. 7: The Calm Before', 'The Walking Dead, Compendium 2', 'The Walking Dead, Vol. 8: Made to Suffer', 'The Walking Dead #1', 'The Walking Dead, Vol. 9: Here We Remain', 'The Walking Dead, Vol. 10: What We Become', 'The Walking Dead, Vol. 13: Too Far Gone', 'The Walking Dead, Vol. 14: No Way Out', 'The Walking Dead, Vol. 15: We Find Ourselves', 'The Walking Dead, Vol. 16: A Larger World']","['Horror', 'Fantasy', 'Science Fiction']","['Zombies', 'Post Apocalyptic']",no,third-person
Brian K. Vaughan ,"['Y: The Last Man, Vol. 1: Unmanned', 'Paper Girls, Vol. 1', 'Y: The Last Man, Vol. 10: Whys and Wherefores', 'Pride of Baghdad', 'Paper Girls, Vol. 3', 'Y: The Last Man, Vol. 6: Girl on Girl', 'Y: The Last Man, Vol. 9: Motherland', 'Y: The Last Man Vol. 3: One Small Step']","['Science Fiction', 'Fantasy']","['Post Apocalyptic', 'Time Travel', 'Historical Fiction']",no,omniscent
Susan Elizabeth Phillips ,"['Kiss an Angel', 'Heaven, Texas', 'Dream a Little Dream', 'It Had to Be You', 'This Heart of Mine', ""Ain't She Sweet?"", 'Match Me If You Can', 'Natural Born Charmer', 'Lady Be Good', 'First Lady', 'Fancy Pants']",['Romance'],['Contemporary Romance'],no,third-person
Sally Thorne ,['The Hating Game'],['Romance'],['Contemporary Romance'],no,third-person
George R. Stewart,['Earth Abides'],"['Science Fiction', 'Fantasy']",['Post Apocalyptic'],classic,third-person
Daniel Suarez ,"['Daemon', 'Freedom(tm)']","['Science Fiction', 'Fantasy']",['Cyberpunk'],no,third-person
Conn Iggulden,"['Genghis: Birth of an Empire', 'Bones of the Hills', 'Genghis: Lords of the Bow', 'The Gates of Rome', 'Conqueror', 'The Field of Swords', 'The Gods of War', 'The Death of Kings', 'The Blood of Gods', 'Khan: Empire of Silver']",['Fantasy'],['Historical Fiction'],no,first-person
Benedict Freedman,"['Mrs. Mike', 'The Search for Joyful']",['Romance'],['Historical Fiction'],classic,omniscent
Andrzej Sapkowski,['Blood of Elves'],['Fantasy'],"['High Fantasy', 'Magic', 'Epic Fantasy']",no,second-person
Chanda Hahn ,"['UnEnchanted', 'Fairest', 'The Iron Butterfly', 'Reign', 'Fable', 'The Steele Wolf']","['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Magic', 'Time Travel', 'High Fantasy', 'Paranormal Romance']",no,third-person
Anna Banks ,"['Of Poseidon', 'Of Triton', 'Of Neptune', 'Nemesis']","['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Paranormal Romance', 'High Fantasy', 'Magic']",no,first-person
Kristen Ashley ,"['Sweet Dreams', 'The Gamble', 'Rock Chick', 'Motorcycle Man', 'The Will', 'Law Man', 'Breathe', 'Own the Wind', 'Rock Chick Rescue', 'Golden Trail', 'Rock Chick Redemption', 'Wild Man', 'Rock Chick Renegade', 'Deacon', 'Rock Chick Reckoning', 'Kaleidoscope', 'Three Wishes']","['Romance', 'Fantasy']","['Contemporary Romance', 'Erotic Romance', 'Paranormal', 'Paranormal Romance', 'Magic']",no,third-person
Jenny Carroll,"['Reunion', 'Darkest Hour', 'Ninth Key', 'Sanctuary', 'Safe House', 'Code Name Cassandra', 'When Lightning Strikes']","['Fantasy', 'Romance']",['Paranormal'],no,third-person
Jose Saramago,"['The Gospel According to Jesus Christ', 'Baltasar and Blimunda', 'The Year of the Death of Ricardo Reis', 'The History of the Siege of Lisbon']",['Romance'],['Historical Fiction'],classic,third-person
Fisher Amelie ,"['Vain', 'Callum & Harper']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,first-person
Cora Carmack ,"['Losing It', 'Faking It']",['Romance'],['Contemporary Romance'],no,third-person
Kate Mosse,"['Labyrinth', 'Sepulchre', ""The Taxidermist's Daughter"", 'The Mistletoe Bride & Other Haunting Tales']","['Fantasy', 'Romance', 'Horror']",['Historical Fiction'],no,third-person
Susan Kay,"['Phantom', 'Legacy']","['Romance', 'Fantasy', 'Horror']",['Historical Fiction'],classic,third-person
Richard Bachman ,"['Thinner', 'The Regulators']","['Horror', 'Fantasy', 'Science Fiction']",['Paranormal'],no,third-person
Louise Rennison,"['Angus, Thongs and Full-Frontal Snogging', ""On the Bright Side, I'm Now the Girlfriend of a Sex God"", 'Are These My Basoomas I See Before Me?', 'Then He Ate My Boy Entrancers', 'Dancing in My Nuddy-Pants', 'Withering Tights', 'Love Is a Many Trousered Thing', 'Away Laughing on a Fast Camel', 'The Taming of the Tights', 'Stop in the Name of Pants!', 'Knocked Out by My Nunga-Nungas', 'Startled by His Furry Shorts']",['Romance'],"['Realistic Fiction', 'Comedy']",no,third-person
Jasinda Wilder ,"['Falling into You', 'Alpha', 'Big Girls Do It Better', 'Big Girls Do It Wetter', 'Big Girls Do It Wilder', 'Big Girls Do It on Top', 'Big Girls Do It Married', 'Omega']",['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Mark Helprin,"[""Winter's Tale""]","['Fantasy', 'Romance']",['Historical Fiction'],no,second-person
Claire North,"['The First Fifteen Lives of Harry August', 'Touch', 'The End of the Day']","['Science Fiction', 'Fantasy']","['Time Travel', 'Historical Fiction', 'Paranormal', 'Urban Fantasy']",no,first-person
Jessica O'Gorek ,['Ethereal Fury'],"['Fantasy', 'Science Fiction', 'Romance']","['Paranormal', 'Paranormal Romance', 'Demons']",no,third-person
Pete Hamill,"['Forever', 'Snow in August', 'North River']","['Fantasy', 'Romance']","['Historical Fiction', 'Time Travel']",no,third-person
Karen Thompson Walker ,['The Age of Miracles'],"['Science Fiction', 'Fantasy']",['Post Apocalyptic'],no,third-person
Chelsea M. Cameron ,"['My Favorite Mistake', 'Style']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,omniscent
Vernor Vinge,"['A Fire Upon the Deep', 'A Deepness in the Sky', 'The Children of the Sky', 'True Names and the Opening of the Cyberspace Frontier', 'The Peace War']","['Science Fiction', 'Fantasy']","['Space', 'Hard Science Fiction', 'Cyberpunk', 'Time Travel', 'Post Apocalyptic']",no,third-person
Jane Green ,"['Jemima J', 'Mr. Maybe', 'The Other Woman', 'To Have and to Hold', 'Bookends', 'Second Chance']",['Romance'],['Contemporary Romance'],no,third-person
L.A. Meyer,"['Bloody Jack', 'My Bonny Light Horseman: Being an Account of the Further Adventures of Jacky Faber, in Love and War', 'Under the Jolly Roger: Being an Account of the Further Nautical Adventures of Jacky Faber', 'In the Belly of the Bloodhound: Being an Account of a Particularly Peculiar Adventure in the Life of Jacky Faber', 'Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady', 'Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy', 'The Wake of the Lorelei Lee: Being an Account of the Adventures of Jacky Faber, on her Way to Botany Bay', 'Mississippi Jack: Being an Account of the Further Waterborne Adventures of Jacky Faber, Midshipman, Fine Lady, and Lily of the West', 'The Mark of the Golden Dragon: Being an Account of the Further Adventures of Jacky Faber, Jewel of the East, Vexation of the West, and Pearl of the South China Sea', 'Viva Jacquelina! Being an Account of the Further Adventures of Jacky Faber, Over the Hills and Far Away']","['Romance', 'Fantasy']",['Historical Fiction'],no,third-person
James S.A. Corey ,"['Leviathan Wakes', 'Nemesis Games', 'Cibola Burn', ""Caliban's War"", ""Abaddon's Gate"", ""Babylon's Ashes"", 'Persepolis Rising', ""Tiamat's Wrath""]","['Science Fiction', 'Fantasy', 'Horror']",['Space'],no,third-person
Jennifer Probst ,"['The Marriage Bargain', 'The Marriage Trap', 'The Marriage Merger', 'The Marriage Mistake', 'Searching for Perfect']",['Romance'],['Contemporary Romance'],no,first-person
Laurie Faria Stolarz ,"['Deadly Little Secret', 'Blue is for Nightmares', 'Silver Is for Secrets', 'Deadly Little Lies', 'Deadly Little Games', 'White Is for Magic', 'Red is for Remembrance', 'Deadly Little Voices', 'Deadly Little Lessons']","['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance', 'Magic']",no,third-person
Poppy Z. Brite ,"['Lost Souls', 'Drawing Blood', 'Wormwood: A Collection of Short Stories']","['Horror', 'Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,second-person
Arturo Perez-Reverte,['The Club Dumas'],['Fantasy'],['Historical Fiction'],no,first-person
Francesca Zappia ,"['Eliza and Her Monsters', 'Made You Up']",['Romance'],['Realistic Fiction'],no,third-person
Alessandro Baricco,['Silk'],['Romance'],['Historical Fiction'],no,first-person
Emmy Laybourne ,"['Monument 14', 'Sweet', 'Sky on Fire', 'Savage Drift']","['Science Fiction', 'Fantasy', 'Romance']","['Post Apocalyptic', 'Zombies']",no,omniscent
Lisa Kleypas ,"['Sugar Daddy', 'Devil in Winter', 'Blue-Eyed Devil', 'Seduce Me at Sunrise', 'Tempt Me at Twilight', 'Secrets of a Summer Night', 'Smooth Talking Stranger', 'Love in the Afternoon', 'Suddenly You', 'It Happened One Autumn', 'Married By Morning', 'When Strangers Marry', ""Because You're Mine"", 'Scandal in Spring', 'Mine Till Midnight', 'Then Came You', 'Dreaming of You', 'Love, Come to Me', 'Marrying Winterborne', ""Lady Sophia's Lover"", 'Someone to Watch Over Me', 'Where Dreams Begin', 'Stranger in My Arms', 'Prince of Dreams', ""Somewhere I'll Find You"", 'Christmas Eve at Friday Harbor']",['Romance'],"['Contemporary Romance', 'Historical Romance', 'Historical Fiction', 'Time Travel']",no,third-person
Patricia C. Wrede ,"['Dealing with Dragons', 'Sorcery & Cecelia: or The Enchanted Chocolate Pot', 'Talking to Dragons', 'Searching for Dragons', 'Snow White and Rose Red', 'The Grand Tour', 'The Raven Ring', 'Calling on Dragons', 'The Mislaid Magician; or, Ten Years After', 'The Far West', ""Magician's Ward"", 'Mairelon the Magician', 'Thirteenth Child']","['Fantasy', 'Romance']","['Magic', 'Historical Fiction', 'Historical Fantasy', 'High Fantasy']",no,first-person
Colm Toibin,['Brooklyn'],['Romance'],['Historical Fiction'],no,first-person
Shaun Tan,['The Arrival'],['Fantasy'],['Historical Fiction'],no,omniscent
Jonathan Maberry ,"['Rot & Ruin', 'Patient Zero', 'Dead of Night', 'Ghost Road Blues', 'The Dragon Factory', 'Code Zero', ""Dead Man's Song"", 'Bad Moon Rising', 'Fall of Night']","['Horror', 'Fantasy', 'Science Fiction']","['Zombies', 'Post Apocalyptic', 'Paranormal', 'Vampires', 'Urban Fantasy']",no,third-person
Christopher Shields ,['The Steward'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Magic']",no,first-person
Margaret George ,"['The Memoirs of Cleopatra', 'Helen of Troy']","['Romance', 'Fantasy']",['Historical Fiction'],no,omniscent
Tiffany Reisz ,"['The Siren', 'The Prince', 'The Mistress', 'The Angel', 'The Saint', 'The King']",['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,omniscent
Julianne Donaldson ,"['Edenbrooke', 'Blackmoore']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
C.J. Redwine ,"['Defiance', 'The Shadow Queen', 'Deception']","['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Post Apocalyptic', 'Magic', 'High Fantasy']",no,omniscent
Cory Doctorow,"['Little Brother', 'In Real Life', 'Makers', 'Someone Comes to Town, Someone Leaves Town', 'Down and Out in the Magic Kingdom']","['Science Fiction', 'Fantasy']","['Cyberpunk', 'Realistic Fiction', 'Urban Fantasy']",no,first-person
Michael Buckley,"['The Fairy-Tale Detectives', 'The Unusual Suspects', 'The Problem Child', 'Once Upon a Crime', 'Magic and Other Misdemeanors', 'The Inside Story', 'The Everafter War', 'Undertow', 'Tales From the Hood', 'The Council of Mirrors']","['Fantasy', 'Science Fiction', 'Romance']","['Magic', 'Paranormal', 'Urban Fantasy']",no,third-person
Edith Pattou ,"['East', ""Hero's Song""]","['Fantasy', 'Romance']","['Magic', 'High Fantasy']",no,first-person
Katherine Allred,['The Sweet Gum Tree'],['Romance'],['Contemporary Romance'],no,omniscent
Amelia Atwater-Rhodes ,"['Hawksong', 'Shattered Mirror', 'In the Forests of the Night', 'Midnight Predator', 'Falcondance', 'Wolfcry', 'Wyvernhail', 'Persistence of Memory', 'Snakecharm', 'All Just Glass']","['Fantasy', 'Romance', 'Horror']","['Paranormal', 'Magic', 'Vampires', 'Urban Fantasy']",no,third-person
Andrew Smith,['Winger'],['Romance'],['Realistic Fiction'],no,third-person
Catherynne M. Valente ,"['The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making', 'Deathless (Leningrad Diptych, #1)', 'In the Night Garden', 'In the Cities of Coin and Spice', 'Palimpsest', 'Radiance']","['Fantasy', 'Romance', 'Science Fiction']","['Magic', 'Historical Fiction', 'High Fantasy', 'Urban Fantasy', 'Space']",no,third-person
Lynn Flewelling ,"['Luck in the Shadows', 'Stalking Darkness', ""The Bone Doll's Twin"", ""Traitor's Moon"", 'Shadows Return', 'The White Road', 'Casket of Souls', 'Hidden Warrior', ""The Oracle's Queen"", 'Shards of Time']","['Fantasy', 'Romance']","['High Fantasy', 'Magic', 'Epic Fantasy']",no,third-person
Lisa Gillis ,['Jack Who?: Perfect Storms'],['Romance'],['Contemporary Romance'],no,first-person
Ingrid Law ,"['Savvy', 'Scumble']",['Fantasy'],['Magic'],no,third-person
Frank Beddor ,"['The Looking Glass Wars', 'Seeing Redd', 'ArchEnemy']",['Fantasy'],['Magic'],no,second-person
Umberto Eco,"['Baudolino', 'The Island of the Day Before']",['Fantasy'],['Historical Fiction'],classic,third-person
Matthew Gregory Lewis,['The Monk'],"['Horror', 'Fantasy']",['Historical Fiction'],classic,first-person
Bree Despain ,"['The Dark Divine', 'The Lost Saint', 'The Shadow Prince']","['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,third-person
Tiffanie DeBartolo ,"['How to Kill a Rock Star', 'God-Shaped Hole']",['Romance'],['Contemporary Romance'],no,omniscent
Sara Raasch ,"['Snow Like Ashes', 'Ice Like Fire', 'Frost Like Night']","['Fantasy', 'Romance']","['Magic', 'High Fantasy']",no,third-person
Ellen Schreiber,"['Vampire Kisses', 'The Coffin Club', 'Royal Blood', 'Vampireville', 'Dance with a Vampire', 'Love Bites', 'Kissing Coffins', 'Immortal Hearts', 'Vampire Kisses: Blood Relatives, Vol. 1', 'Cryptic Cravings', 'Full Moon Kisses', 'Once in a Full Moon']","['Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,third-person
Kevin Hearne ,"['Hounded', 'Hexed', 'Hammered', 'Tricked', 'Trapped', 'Hunted']",['Fantasy'],"['Urban Fantasy', 'Paranormal', 'Magic', 'Vampires']",no,first-person
Enid Blyton,"['The Magic Faraway Tree', 'The Folk of the Faraway Tree', 'The Enchanted Wood']",['Fantasy'],['Magic'],classic,third-person
M.G. Wells,['Number 13'],['Fantasy'],"['Magic', 'Paranormal']",no,omniscent
Kenneth Jarrett Singleton,"[""Nicu II and Victoria's Incestuous Romance"", 'Angelica And Francesca']","['Romance', 'Horror']",['Historical Fiction'],no,third-person
Elizabeth Hunter ,"['A Hidden Fire', 'The Force of Wind', 'A Fall of Water', 'This Same Earth', 'The Scribe']","['Romance', 'Fantasy']","['Paranormal', 'Vampires', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",no,third-person
Nancy Horan,"['Loving Frank', 'Under the Wide and Starry Sky']",['Romance'],['Historical Fiction'],no,first-person
Ann Leckie ,"['Ancillary Justice', 'Ancillary Sword', 'Ancillary Mercy']","['Science Fiction', 'Fantasy']",['Space'],no,third-person
Wildbow,"['Worm', 'Pact']","['Fantasy', 'Science Fiction', 'Horror']","['Urban Fantasy', 'Magic']",no,first-person
Christina Mercer ,['Arrow of the Mist'],['Fantasy'],"['Paranormal', 'Magic', 'High Fantasy']",no,third-person
Avery Aster ,"['Love, Lex', 'XO, Blake']",['Romance'],['Contemporary Romance'],no,third-person
Lisa Tawn Bergren ,"['Waterfall', 'Cascade', 'Torrent', 'Deluge']","['Fantasy', 'Romance', 'Science Fiction']","['Time Travel', 'Historical Fiction']",no,third-person
Alexandra Ripley,['Scarlett'],['Romance'],"['Historical Fiction', 'Historical Romance']",classic,third-person
Walter Moers,['Rumo & His Miraculous Adventures'],['Fantasy'],['High Fantasy'],no,third-person
Jennifer Lynn Barnes ,"['The Naturals', 'Tattoo', 'All In', 'Nobody']","['Romance', 'Fantasy', 'Science Fiction']","['Paranormal', 'Magic', 'Urban Fantasy', 'Realistic Fiction']",no,third-person
Tamara Ireland Stone ,"['Every Last Word', 'Time Between Us']","['Romance', 'Fantasy', 'Science Fiction']","['Realistic Fiction', 'Time Travel', 'Paranormal']",no,third-person
Rebecca Maizel ,"['Infinite Days', 'Stolen Nights', 'A Season for Fireflies']","['Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic', 'Realistic Fiction', 'Contemporary Romance']",no,third-person
Stuart Turton ,['The 7 1/2 Deaths of Evelyn Hardcastle'],"['Fantasy', 'Science Fiction']",['Historical Fiction'],no,first-person
Anna Carey ,"['Eve', 'Once', 'Rise']","['Romance', 'Science Fiction', 'Fantasy']",['Post Apocalyptic'],no,third-person
Ava Dellaira ,['Love Letters to the Dead'],['Romance'],['Realistic Fiction'],no,third-person
Jess Rothenberg ,['The Catastrophic History of You and Me'],"['Romance', 'Fantasy']",['Paranormal'],no,third-person
Simon Holt,"['The Devouring', 'Soulstice', 'Fearscape']","['Horror', 'Fantasy']","['Paranormal', 'Demons', 'Urban Fantasy']",no,third-person
Jay Anson,['The Amityville Horror'],['Horror'],['Paranormal'],classic,omniscent
Robyn Schneider ,"['The Beginning of Everything', 'Extraordinary Means']",['Romance'],['Realistic Fiction'],no,third-person
Barbara Taylor Bradford ,"['A Woman of Substance', 'Hold the Dream', 'To Be the Best']",['Romance'],"['Historical Fiction', 'Contemporary Romance']",no,omniscent
Erika Johansen ,"['The Queen of the Tearling', 'The Invasion of the Tearling']","['Fantasy', 'Science Fiction']","['Magic', 'High Fantasy']",no,first-person
Anna Godbersen,"['The Luxe', 'Splendor', 'Rumors', 'Envy', 'Bright Young Things', 'The Lucky Ones', 'Beautiful Days']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Richard Paul Evans,"['The Prisoner of Cell 25', 'The Sunflower', 'The Looking Glass', 'Battle of the Ampere', 'Timepiece']","['Science Fiction', 'Fantasy', 'Romance']","['Paranormal', 'Historical Fiction']",no,third-person
Raine Miller ,"['Naked', 'Rare and Precious Things', 'Cherry Girl']",['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Sophie Jordan ,"['Vanish', 'Hidden', 'Uninvited', 'Reign of Shadows', 'Foreplay']","['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'High Fantasy', 'Contemporary Romance']",no,omniscent
Ridley Pearson,"['Disney After Dark', 'Disney in Shadow', 'Dark Passage', 'Disney at Dawn', 'The Insider']","['Fantasy', 'Science Fiction']","['Magic', 'Urban Fantasy']",no,omniscent
