,Name,Birth Year,Genres,Books
346,Scott O'Dell,1898.0,Children's historical fiction,[]
347,E. B. White,1899.0,,"['Stuart Little', ""Charlotte's Web"", 'The Trumpet of the Swan']"
348,E. Nesbit,1858.0,Children's literature,[]
349,Hannah Crafts,,,[]
350,Nick Hornby,1957.0,"Fiction, non-fiction",[]
351,Lynn Flewelling,1958.0,Fantasy,[]
352,Virginia Woolf,1882.0,,"['The Voyage Out', 'Night and Day (Woolf novel)', ""Jacob's Room"", 'Mrs Dalloway', 'To the Lighthouse', 'Orlando: A Biography', 'The Waves', 'Between the Acts', 'Three Guineas']"
353,Anne Perry,1938.0,,['The Cater Street Hangman']
354,Augusten Burroughs,1965.0,,[]
355,Antonio Negri,1933.0,,"['Empire (Hardt and Negri book)', 'Multitude: War and Democracy in the Age of Empire', 'Commonwealth (Hardt and Negri book)']"
356,Mark Z. Danielewski,1966.0,['Signiconic'],"['The Whalestoe Letters', 'The Fifty Year Sword', 'The Familiar, Volume 1: One Rainy Day in May', 'The Familiar, Volume 2: Into the Forest']"
357,China Miéville,,"['Science fiction', ' verse novel']","['Perdido Street Station', 'The Scar (novel)', 'Iron Council', 'The Tain (novella)', 'This Census-Taker', 'Looking for Jake', 'King Rat (Miéville novel)', 'Un Lun Dun', 'The City &amp; the City', 'Kraken (novel)', 'Embassytown', 'Railsea', 'Perdido Street Station', 'The Scar (novel)', 'Iron Council', 'The Tain (novella)', 'This Census-Taker', 'The Last Days of New Paris', 'Looking for Jake', ""The Handmaid's Tale"", 'Unquenchable Fire', 'The Child Garden', 'Take Back Plenty', 'He, She and It', 'Vurt', 'The Calcutta Chromosome', 'The Sparrow (novel)', 'Dreaming in Smoke', 'Perdido Street Station', 'Quicksilver (novel)', 'Iron Council', 'Air (novel)', 'Nova Swing', 'Black Man (novel)', 'The City &amp; the City', 'Zoo City', 'Dark Eden (novel)', 'Ancillary Justice', 'Station Eleven', 'Children of Time (novel)', 'The Underground Railroad (novel)', 'Rosewater (Thompson novel)', 'The Old Drift', 'The Animals in That Country (novel)', 'Deep Wheel Orcadia']"
358,Lloyd Alexander,1924.0,['Fantasy novel'],"['The Castle of Llyr', 'Taran Wanderer', 'The Kestrel', 'The Beggar Queen', 'The Cat Who Wished to Be a Man', 'The First Two Lives of Lukas-Kasha', 'The Iron Ring', 'Gypsy Rizka']"
359,Simon Scarrow,1962.0,Historical fiction,[]
360,Peter Carey,,,
361,Cinammon Burke,,,
362,Oscar Wilde,1854.0,"Epigram, drama, short story, criticism, journalism",[]
363,Luther Blissett,,,[]
364,Emmanuelle Arsan,1932.0,"Fiction, erotica",[]
365,Sherman Alexie,1966.0,['Historical Fiction'],"['Reservation Blues', 'Indian Killer', 'The Absolutely True Diary of a Part-Time Indian', 'Flight (novel)', 'Reservation Blues', 'Indian Killer', 'The Absolutely True Diary of a Part-Time Indian']"
366,Andre Dubus,1936.0,Literary fiction,[]
367,Robert Crais,1953.0,"Fiction, crime fiction, thrillers",[]
368,Erich Segal,1937.0,,[]
369,Robert Munsch,1945.0,Children's literature,[]
370,S. E. Hinton,1948.0,,"['The Outsiders (novel)', 'That Was Then, This Is Now', 'Rumble Fish (novel)', 'Tex (novel)', 'Taming the Star Runner', 'The Puppy Sister', 'Hawkes Harbor', ""Some of Tim's Stories"", 'Rumble Fish']"
371,Richard Preston,1954.0,,[]
372,David Clement-Davies,1964.0,Animal Fantasy Fiction,[]
373,James P. Hogan,,,
374,Camilo José Cela,1916.0,,[]
375,Thomas King,,,
376,Alex Garland,1970.0,,"['The Beach (novel)', 'The Tesseract (novel)', 'The Coma', 'The Beach (novel)', 'The Tesseract (novel)', 'The Coma', 'Enslaved: Odyssey to the West']"
377,Walter Kirn,1962.0,['Satirical novel'],"['Thumbsucker (novel)', 'Up in the Air (novel)', 'Mission to America']"
378,Edward Abbey,1927.0,,[]
379,Craig Thomas,,,
380,Jonathan Franzen,1959.0,['Essays'],"['The Twenty-Seventh City', 'Strong Motion', 'The Corrections', 'Freedom (Franzen novel)', 'Purity (novel)', 'Crossroads (novel)', 'How to Be Alone (book)']"
381,Rebecca Wells,1953.0,,"['Jamaica Inn (novel)', ""Frenchman's Creek (novel)"", 'Hungry Hill (novel)', ""The King's General"", 'The Parasites', 'My Cousin Rachel', 'Mary Anne (novel)', 'The Scapegoat (Du Maurier novel)', 'Castle Dor', 'The House on the Strand', 'Rule Britannia (novel)', 'The Key to Rebecca', 'Mrs de Winter', ""Rebecca's Tale""]"
382,Leo Tolstoy,1828.0,,"['The Kingdom of God Is Within You', 'What Is Art?', 'War and Peace', 'Anna Karenina', 'Resurrection (Tolstoy novel)', 'Childhood (Tolstoy novel)', 'Boyhood (novel)', 'Family Happiness', 'Polikúshka (novella)', 'The Cossacks (novel)', 'The Death of Ivan Ilyich', 'The Kreutzer Sonata', 'The Devil (novel)', 'The Forged Coupon', 'Hadji Murat (novella)', 'What I Believe (Tolstoy book)', 'The Kingdom of God Is Within You', 'What Is Art?', 'The Decembrists']"
383,Daniel Silva,,,
384,Robert Harris,,,
385,Nevil Shute,1899.0,,"['Marazan', 'So Disdained', 'Lonely Road (novel)', 'Ruined City', 'What Happened to the Corbetts', 'An Old Captivity', 'Landfall: A Channel Story', 'Pied Piper (novel)', 'Most Secret', 'Pastoral (Shute novel)', 'The Chequer Board', 'No Highway', 'A Town Like Alice', 'Round the Bend (novel)', 'The Far Country (novel)', 'In the Wet', 'Requiem for a Wren', 'Beyond the Black Stump', 'On the Beach (novel)', 'The Rainbow and the Rose', 'Trustee from the Toolroom', 'The Seafarers (novel)']"
386,Frederick Forsyth,1938.0,['Thriller'],"['The Biafra Story', 'The Day of the Jackal', 'The Dogs of War (novel)', 'The Shepherd', ""The Devil's Alternative"", 'The Fourth Protocol', 'The Negotiator (novel)', 'The Deceiver (novel)', 'The Fist of God', 'Icon (novel)', 'The Phantom of Manhattan', 'Avenger (Forsyth novel)', 'The Afghan', 'The Cobra (novel)', 'The Kill List', 'The Fox (Forsyth novel)']"
387,William Boyd,,,
388,Val McDermid,1955.0,Crime fiction,[]
389,Julian Barnes,1946.0,"Novels, short stories, essays, memoirs",[]
390,Neil Postman,1931.0,,[]
391,Jerry Spinelli,1941.0,Children's and young-adult novels,[]
392,D.J. MacHale,1955.0,,[]
393,Kathy Reichs,1948.0,Crime,[]
394,Jon Scieszka,1954.0,,"['The Improvisatore', 'The Two Baronesses']"
395,Lee Child,1954.0,"Crime fiction, mystery, thriller",[]
396,Greg Iles,1960.0,,"[""Lisey's Story (miniseries)"", 'Heroes for Hope', 'American Vampire', 'The Joy Luck Club (novel)', ""The Kitchen God's Wife"", 'The Hundred Secret Senses', ""The Bonesetter's Daughter"", 'Saving Fish from Drowning', 'The Valley of Amazement', 'The Chinese Siamese Cat']"
397,Richard Matheson,1926.0,,['The Bear (TV series)']
398,Mike Tucker,,,
399,Joyce Carol Oates,1938.0,['Gothic novel'],"['A Garden of Earthly Delights', 'Them (novel)', 'Wonderland (novel)', 'Son of the Morning (novel)', 'Unholy Loves', 'You Must Remember This', 'Because It Is Bitter, and Because It Is My Heart', 'Zombie (novel)', 'We Were the Mulvaneys', 'Man Crazy', 'Blonde (novel)', 'Middle Age: A Romance', ""I'll Take You There (novel)"", 'The Tattooed Girl', 'Missing Mom', ""The Gravedigger's Daughter"", 'Little Bird of Heaven', 'The Sacrifice (Oates novel)', 'A Book of American Martyrs', 'Pursuit (Oates novel)', 'Night. Sleep. Death. The Stars.', 'Haunted: Tales of the Grotesque', 'Black Water (novella)', 'Beasts (novella)', 'A Fair Maiden', 'Freaky Green Eyes', 'Sexy (novel)', 'After the Wreck, I Picked Myself Up, Spread My Wings, and Flew Away', 'A Garden of Earthly Delights', 'Them (novel)', 'Wonderland (novel)', 'The Accursed (Oates novel)', 'Son of the Morning (novel)', 'Unholy Loves', 'You Must Remember This', 'Because It Is Bitter, and Because It Is My Heart', 'Foxfire: Confessions of a Girl Gang', 'Zombie (novel)', 'We Were the Mulvaneys', 'Man Crazy', 'Blonde (novel)', 'Middle Age: A Romance', ""I'll Take You There (novel)"", 'The Tattooed Girl', 'Missing Mom', ""The Gravedigger's Daughter"", 'Little Bird of Heaven', 'Mudwoman', 'The Sacrifice (Oates novel)', 'Night. Sleep. Death. The Stars.', 'Black Water (novella)', 'First Love: A Gothic Tale', 'Beasts (novella)', 'A Fair Maiden', 'Freaky Green Eyes', 'Sexy (novel)', 'After the Wreck, I Picked Myself Up, Spread My Wings, and Flew Away']"
400,Jessica Hagedorn,1949.0,,[]
401,Philip Gourevitch,1961.0,,[]
402,Irvine Welsh,1958.0,,"['Trainspotting (novel)', 'Marabou Stork Nightmares', 'Filth (novel)', 'Glue (novel)', 'Porno (novel)', 'The Bedroom Secrets of the Master Chefs', 'Crime (novel)', 'Skagboys', 'The Sex Lives of Siamese Twins', 'A Decent Ride', 'The Blade Artist', ""Dead Men's Trousers"", 'The Acid House', 'Ecstasy: Three Tales of Chemical Romance', 'T2 Trainspotting', 'Trainspotting (novel)', 'Marabou Stork Nightmares', 'Filth (novel)', 'Glue (novel)', 'Porno (novel)', 'The Bedroom Secrets of the Master Chefs', 'Crime (novel)', 'Skagboys', 'The Sex Lives of Siamese Twins', 'A Decent Ride', 'The Blade Artist', ""Dead Men's Trousers"", 'The Acid House', 'Ecstasy: Three Tales of Chemical Romance', 'T2 Trainspotting']"
403,Larry Niven,1938.0,['Science fiction novel'],"['World of Ptavvs', 'A Gift from Earth', 'The Patchwork Girl', 'The Ringworld Throne', ""Ringworld's Children"", 'Fleet of Worlds', 'Destroyer of Worlds (novel)', 'Betrayer of Worlds', 'The Smoke Ring (novel)', 'Oath of Fealty (novel)', 'Escape from Hell (novel)', 'The Burning City', 'Burning Tower', 'The Descent of Anansi', 'World of Ptavvs', 'A Gift from Earth', 'Protector (novel)', 'The Patchwork Girl', 'Crashlander', 'Ringworld', 'The Ringworld Engineers', 'The Ringworld Throne', ""Ringworld's Children"", 'Fleet of Worlds', 'Juggler of Worlds', 'Destroyer of Worlds (novel)', 'Betrayer of Worlds', 'Fate of Worlds', 'The Burning City', 'Burning Tower', 'Inferno (Niven and Pournelle novel)', 'Oath of Fealty (novel)', 'Footfall', 'Escape from Hell (novel)', ""The Mote in God's Eye"", 'The Gripping Hand', 'The Legacy of Heorot', ""Beowulf's Children"", ""Destiny's Road"", 'Dream Park', 'A World Out of Time', 'The Integral Trees', 'The Smoke Ring (novel)', 'The Descent of Anansi', 'Fallen Angels (Niven, Pournelle, and Flynn novel)', ""Building Harlequin's Moon""]"
404,Maria Edgeworth,1768.0,"Regionalism, Romantic novel, children's literature",[]
405,Geraldine Brooks,,,
406,Mercedes Lackey,1950.0,['Fantasy novel'],"['By the Sword (novel)', 'Take a Thief', ""Arrow's Fall"", 'Storm Rising', 'The Sleeping Beauty (novel)']"
407,Nadine Gordimer,1923.0,,"['The Lying Days', 'A World of Strangers', 'Occasion for Loving', 'The Late Bourgeois World', 'A Guest of Honour (novel)', ""Burger's Daughter"", ""July's People"", 'A Sport of Nature', ""My Son's Story"", 'None to Accompany Me', 'The Pickup', 'Get a Life (novel)', 'Beethoven Was One-Sixteenth Black', 'The Lying Days', 'A World of Strangers', 'Occasion for Loving', 'The Late Bourgeois World', 'A Guest of Honour (novel)', 'The Conservationist', ""Burger's Daughter"", ""July's People"", 'A Sport of Nature', ""My Son's Story"", 'None to Accompany Me', 'The Pickup', 'Get a Life (novel)', 'No Time Like the Present', 'Beethoven Was One-Sixteenth Black']"
408,Charles Dickens,1812.0,,"[""A Child's History of England"", 'Barnaby Rudge', 'Hard Times (novel)', 'A Tale of Two Cities', 'The Mystery of Edwin Drood', 'A Christmas Carol', 'The Chimes', 'The Cricket on the Hearth', 'The Battle of Life', ""The Haunted Man and the Ghost's Bargain"", 'No Thoroughfare', 'No Thoroughfare']"
409,Patricia Nell Warren,1936.0,,[]
410,W. Somerset Maugham,1874.0,,"['Mrs Craddock', 'The Magician (Maugham novel)', 'Of Human Bondage', 'The Moon and Sixpence', 'The Painted Veil (novel)', 'Cakes and Ale', 'The Narrow Corner', 'Theatre (novel)', 'Up at the Villa', ""The Razor's Edge"", 'Then and Now (novel)', 'Catalina (novel)', 'The Mixture as Before', 'On a Chinese Screen', 'The Summing Up']"
411,Margot Adler,1946.0,,[]
412,Christopher Moore,,,
413,Will Self,1961.0,['Fantasy'],"['Alcatraz Versus the Evil Librarians', ""Alcatraz Versus the Scrivener's Bones"", 'Alcatraz Versus the Knights of Crystallia', 'Alcatraz Versus the Shattered Lens', 'Elantris', 'Mistborn: The Final Empire', 'Mistborn: The Well of Ascension', 'Mistborn: The Hero of Ages', 'Mistborn: The Alloy of Law', 'Mistborn: Shadows of Self', 'Mistborn: The Bands of Mourning', 'Mistborn: The Lost Metal', 'Mistborn Adventure Game', 'The Way of Kings', 'Words of Radiance', 'Oathbringer', 'Rhythm of War', 'Tress of the Emerald Sea', 'Yumi and the Nightmare Painter', 'Warbreaker', 'The Gathering Storm (novel)', 'Towers of Midnight', 'A Memory of Light', 'Skyward (novel)', 'Starsight', 'Cytonic', 'The Eye of the World', 'The Great Hunt', 'The Dragon Reborn', 'The Shadow Rising', 'The Fires of Heaven', 'Lord of Chaos', 'A Crown of Swords', 'The Path of Daggers', ""Winter's Heart"", 'Crossroads of Twilight', 'New Spring', 'Knife of Dreams', 'The Gathering Storm (novel)', 'Towers of Midnight', 'A Memory of Light', ""The World of Robert Jordan's The Wheel of Time"", 'The Wheel of Time Companion']"
414,William Gibson,1948.0,,"['Neuromancer', 'Neuromancer', 'Count Zero', 'Mona Lisa Overdrive', 'Virtual Light', 'Virtual Light', 'Idoru', ""All Tomorrow's Parties (novel)"", 'Pattern Recognition (novel)', 'Pattern Recognition (novel)', 'Spook Country', 'Zero History', 'Agency (novel)', 'Neuromancer', 'Count Zero', 'Mona Lisa Overdrive', 'Virtual Light', 'Idoru', ""All Tomorrow's Parties (novel)"", 'Pattern Recognition (novel)', 'Spook Country', 'Zero History', 'Agency (novel)', 'Archangel (Gibson comic)']"
415,Elliot Perlman,,['Novel'],"['Three Dollars (novel)', 'Seven Types of Ambiguity (novel)']"
416,Michael Dobbs,1948.0,,"['House of Cards (novel)', 'Whispers of Betrayal', ""Winston's War"", 'Never Surrender (novel)', 'To Play the King']"
417,Whitley Strieber,1945.0,,"['The Wolfen', 'The Hunger (Strieber novel)', 'Billy (novel)', 'Communion (book)', 'The Hunger (Strieber novel)', 'The Wolfen', 'Warday', 'Billy (novel)', 'The Wild (novel)', 'Communion (book)', 'The Coming Global Superstorm']"
418,John Gardner,,,
419,Sara Shepard,1977.0,Young adult fictionmysterythriller,[]
420,V. C. Andrews,1923.0,Gothic horrorFamily saga,[]
421,Andrew Morton,,,
422,Eudora Welty,1909.0,,"['The Robber Bridegroom (novella)', 'Delta Wedding', 'The Shoe Bird', 'Losing Battles', ""The Optimist's Daughter""]"
423,Catherine Crook de Camp,1907.0,"Science fiction, Fantasy",[]
424,Jeffrey Eugenides,1960.0,Fiction,[]
425,Stephen Fry,1957.0,,"['The Enormous Crocodile', 'The Fry Chronicles', 'The Liar (novel)', 'The Hippopotamus', 'Making History (novel)', ""The Stars' Tennis Balls"", ""Stephen Fry's Incomplete and Utter History of Classical Music"", 'The Ode Less Travelled', 'Mythos (book)', ""Fry's Planet Word""]"
426,Charles Frazier,1950.0,Historical fiction,[]
427,Maya Angelou,1928.0,,[]
428,Nigel Robinson,,,[]
429,TAMI HOAG,,,
430,Nicci Gerrard,1959.0,,[]
431,Kent Haruf,1943.0,Fiction,[]
432,Wilson Rawls,1913.0,Children's novels,[]
433,Margaret Haddix,1964.0,"[""Children's novelAdventure novel""]","['Among the Hidden', 'Among the Impostors', 'Among the Betrayed', 'Among the Barons', 'Among the Brave', 'Among the Enemy', 'Among the Free', 'Just Ella', 'Just Ella', 'Just Ella', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', 'The Missing (novel series)', ""Don't You Dare Read This, Mrs. Dunphrey"", 'Leaving Fishers', 'Because of Anya', 'Escape from Memory', 'Double Identity (Haddix novel)', 'Uprising (novel)', 'Claim to Fame (novel)', 'Among the Hidden', 'Among the Impostors', 'Among the Betrayed', 'Among the Barons', 'Among the Brave', 'Among the Enemy', 'Among the Free', ""Don't You Dare Read This, Mrs. Dunphrey"", 'Leaving Fishers', 'Just Ella', 'Turnabout (novel)', 'Because of Anya', 'Escape from Memory', 'Double Identity (Haddix novel)', 'Uprising (novel)', 'Claim to Fame (novel)', 'Into the Gauntlet']"
434,Rudolfo Anaya,1937.0,,[]
435,Anchee Min,1957.0,,[]
436,Peter Straub,1943.0,['Fantasy'],"['Julia (novel)', 'If You Could See Me Now (Straub novel)', 'Ghost Story (Straub novel)', 'Shadowland (Straub novel)', 'Floating Dragon', 'Koko (novel)', 'Mystery (novel)', 'Black House (novel)', 'Lost Boy, Lost Girl', 'In the Night Room', 'Mrs. God (novel)']"
437,Michael Dibdin,,"['Crime', ' Mystery novel']","['Ratking (novel)', 'Vendetta (Dibdin novel)', 'Dead Lagoon', 'Cosi Fan Tutti', 'A Long Finish', 'Blood Rain (novel)', 'And Then You Die (novel)', 'Medusa (Dibdin novel)', 'Back to Bologna', 'End Games', 'The Last Sherlock Holmes Story', 'Thanksgiving (novel)', 'Ratking (novel)', 'Vendetta (Dibdin novel)', 'Cabal (Dibdin novel)', 'Dead Lagoon', 'Cosi Fan Tutti', 'A Long Finish', 'Blood Rain (novel)', 'And Then You Die (novel)', 'Medusa (Dibdin novel)', 'Back to Bologna', 'End Games', 'The Last Sherlock Holmes Story', 'Thanksgiving (novel)']"
438,Charlaine Harris,1951.0,Mystery fiction / Southern Gothic,[]
439,Stuart Woods,1938.0,['Suspense/thriller novel'],"['New York Dead', 'Dead in the Water (Woods novel)', 'Swimming to Catalina']"
440,Christy Brown,1932.0,,[]
441,Matthew Reilly,1974.0,"['Thriller', ' Science fiction[1]']","['Temple (novel)', 'Ice Station', 'Area 7 (novel)', 'Scarecrow (novel)', 'The Six Sacred Stones', 'The Five Greatest Warriors', 'The Four Legendary Kingdoms', 'Seven Ancient Wonders', 'The Six Sacred Stones', 'The Five Greatest Warriors', 'The Four Legendary Kingdoms', 'Area 7 (novel)', 'Scarecrow (novel)', 'Scarecrow and the Army of Thieves', 'Temple (novel)', 'The Great Zoo of China']"
442,Malika Oufkir,1953.0,,[]
443,Carol Ryrie Brink,1895.0,Children's and adult novels,[]
444,Annie Dillard,1945.0,"
Nonfiction
fiction
poetry
",[]
445,David Brin,1950.0,Science fiction,[]
446,Pat Barker,1943.0,,[]
447,Donna Gillespie,,,
448,Albert Camus,1913.0,,[]
449,Alan Lightman,1948.0,,[]
450,Josephine Tey,1896.0,,[]
451,Ursula K. Le Guin,1929.0,,"['A Wizard of Earthsea', 'The Tombs of Atuan', 'The Farthest Shore', 'Tehanu', 'The Other Wind', 'Tales from Earthsea', ""Rocannon's World"", 'Planet of Exile', 'City of Illusions', 'The Left Hand of Darkness', 'The Dispossessed', 'The Word for World Is Forest', 'The Telling', ""The Shobies' Story"", 'Gifts (novel)', 'Voices (Le Guin novel)', 'Powers (novel)', 'The Lathe of Heaven', 'The Eye of the Heron', 'Malafrena', 'The Beginning Place', 'Always Coming Home', 'Lavinia (novel)', ""The Wind's Twelve Quarters"", 'The Birthday of the World and Other Stories', 'Steering the Craft']"
452,Andrea Camilleri,1925.0,,[]
453,Karin Lowachee,,['Thriller'],"['Dune Messiah', 'Children of Dune', 'God Emperor of Dune', 'Heretics of Dune', 'Chapterhouse: Dune', 'Hunters of Dune', 'Sandworms of Dune', 'Dune: House Atreides', 'Dune: House Harkonnen', 'Dune: House Corrino', 'Dune: The Butlerian Jihad', 'Dune: The Machine Crusade', 'Dune: The Battle of Corrin', 'Paul of Dune', 'The Winds of Dune', 'Sisterhood of Dune', 'Mentats of Dune', 'Navigators of Dune', 'Dune: The Duke of Caladan', 'Dune: The Lady of Caladan', 'Dune: The Heir of Caladan', ""Frank Herbert's Dune"", 'The Science of Dune', 'Rick and Morty – Head-Space', 'Dune Messiah', 'Children of Dune', 'God Emperor of Dune', 'Heretics of Dune', 'Chapterhouse: Dune', 'Whipping Star', 'The Dosadi Experiment', 'Destination: Void', 'The Jesus Incident', 'The Lazarus Effect (novel)', 'The Dragon in the Sea', 'The Green Brain', 'The Eyes of Heisenberg', 'The Heaven Makers', 'The Santaroga Barrier', 'Soul Catcher (novel)', 'The Godmakers (novel)', ""Hellstrom's Hive"", 'Direct Descent', 'The White Plague', 'Man of Two Worlds (novel)', 'High-Opp', ""Angels' Fall"", 'A Game of Authors', 'A Thorn in the Bush']"
454,John Knowles,1926.0,,[]
455,Irene Hunt,,,[]
456,Willo Davis Roberts,,,[]
457,Mildred Taylor,1943.0,Children's literature,[]
458,Katherine Neville,,,
459,Jeffery Deaver,1950.0,"['Crime', ' thriller']","['Manhattan Is My Beat', 'Death of a Blue Movie Star', ""Hell's Kitchen (novel)"", 'The Bone Collector (novel)', 'The Coffin Dancer', 'The Empty Chair (novel)', 'The Stone Monkey', 'The Broken Window', 'The Burning Wire', 'Carte Blanche (novel)', 'Casino Royale (novel)', 'Live and Let Die (novel)', 'Moonraker (novel)', 'Diamonds Are Forever (novel)', 'From Russia, with Love (novel)', 'Dr. No (novel)', 'Goldfinger (novel)', 'Thunderball (novel)', 'The Spy Who Loved Me (novel)', ""On Her Majesty's Secret Service (novel)"", 'You Only Live Twice (novel)', 'The Man with the Golden Gun (novel)', 'Octopussy and The Living Daylights', 'Colonel Sun', 'Licence Renewed', 'For Special Services', 'Icebreaker (novel)', 'Scorpius (novel)', 'Cold (novel)', 'Zero Minus Ten', 'High Time to Kill', 'Devil May Care (Faulks novel)', 'Carte Blanche (novel)', 'Solo (Boyd novel)', 'Trigger Mortis', 'Forever and a Day (novel)', 'James Bond, The Spy Who Loved Me', 'James Bond and Moonraker', 'The World Is Not Enough (novel)', 'The Adventures of James Bond Junior 003½', 'James Bond: The Authorized Biography of 007', 'SilverFin', 'Blood Fever', 'Double or Die', 'Hurricane Gold', 'By Royal Command', 'Heads You Die', 'The Moneypenny Diaries: Guardian Angel', 'Secret Servant: The Moneypenny Diaries', 'The Moneypenny Diaries: Final Fling', 'The Killing Zone', 'Per Fine Ounce', 'Double O Seven, James Bond, A Report', 'The James Bond Dossier', 'The Book of Bond', 'The James Bond Bedside Companion', 'The Battle for Bond', 'Danger Society: The Young Bond Dossier']"
460,Jeff Mariotte,1955.0,"Horror, crime investigation, western",[]
461,Shirley Jackson,1916.0,['Gothic fiction'],"['The Road Through the Wall', 'Hangsaman', ""The Bird's Nest (novel)"", 'The Sundial', 'The Haunting of Hill House', 'We Have Always Lived in the Castle', 'Life Among the Savages']"
462,Robert Silverberg,1935.0,['Fantasy'],['Legends (anthology)']
463,Lindsey Davis,1949.0,Historical whodunnit,[]
464,Tad Williams,1957.0,['Fantasy'],"['The Dragonbone Chair', 'Stone of Farewell', 'City of Golden Shadow', 'River of Blue Fire', 'Mountain of Black Glass', 'Sea of Silver Light', 'Shadowmarch', ""Tailchaser's Song"", 'The Dragonbone Chair', 'Stone of Farewell', 'To Green Angel Tower', 'The Heart of What Was Lost', 'City of Golden Shadow', 'River of Blue Fire', 'Mountain of Black Glass', 'Sea of Silver Light', 'Shadowmarch', 'Shadowmarch', 'Shadowmarch', ""Tailchaser's Song""]"
465,Corrie ten Boom,1892.0,,[]
466,Eve Bunting,1928.0,,['The Presence: A Ghost Story']
467,Beryl Bainbridge,1932.0,['Historical novel'],"['Sweet William (novel)', 'A Quiet Life (novel)', 'Young Adolf', 'The Birthday Boys', 'The Girl in the Polka Dot Dress', 'The Dressmaker (Bainbridge novel)', 'The Bottle Factory Outing', 'Sweet William (novel)', 'A Quiet Life (novel)', 'Injury Time (novel)', 'Young Adolf', 'An Awfully Big Adventure (novel)', 'The Birthday Boys', 'Every Man for Himself (novel)', 'Master Georgie', 'The Girl in the Polka Dot Dress']"
468,Kirsten Bakis,1968.0,,[]
469,David Almond,1951.0,"Children's novels, speculative fiction, magic realism",[]
470,Pierre Boulle,1912.0,,[]
471,Lester del Rey,1915.0,"Fantasy, science fiction","['The Belgariad', 'The Belgariad', 'The Belgariad', 'The Belgariad', 'The Belgariad', 'The Malloreon', 'The Malloreon', 'The Malloreon', 'The Malloreon', 'The Malloreon', 'The Elenium', 'The Elenium', 'The Elenium', 'The Tamuli', 'The Tamuli', 'The Tamuli']"
472,Adam Rapp,1968.0,,"['The Copper Elephant', 'Little Chicago (novel)', '33 Snowfish']"
473,Alice Hoffman,1952.0,,"['At Risk (book)', 'Practical Magic (novel)', 'Here on Earth (novel)', 'Blackbird House', 'The Ice Queen', 'The Story Sisters', 'The Dovekeepers (novel)', 'Aquamarine (novel)', 'Indigo (Hoffman novel)']"
474,Paullina Simons,1963.0,"Romance, historical fiction",[]
475,D. H. Lawrence,1885.0,,"['The White Peacock', 'The Trespasser (novel)', 'Sons and Lovers', 'The Rainbow', 'Women in Love', 'The Lost Girl', ""Aaron's Rod (novel)"", 'Kangaroo (novel)', 'The Plumed Serpent', ""Lady Chatterley's Lover"", 'The White Peacock', 'The Trespasser (novel)', 'Sons and Lovers', 'The Rainbow', 'Women in Love', 'The Lost Girl', ""Aaron's Rod (novel)"", 'Kangaroo (novel)', 'The Boy in the Bush', 'The Plumed Serpent', 'John Thomas and Lady Jane', ""Lady Chatterley's Lover"", 'The Escaped Cock', 'The Fox (novella)', ""The Captain's Doll"", 'The Ladybird', 'St Mawr', 'The Virgin and the Gypsy', 'Sea and Sardinia', 'John Thomas and Lady Jane']"
476,José Saramago,1922.0,,[]
477,Aleksandr Solzhenitsyn,1918.0,,[]
478,Jack Schaefer,,['Western'],['Shane (novel)']
479,Hampton Sides,1962.0,"Nonfiction, history, american history",[]
480,Murray Bail,1941.0,,"[""Holden's Performance"", 'Eucalyptus (novel)', 'The Pages (novel)']"
481,John Lescroart,1948.0,"
Thriller
mystery
suspense
/egal thriller
",[]
482,William Diehl,1924.0,,[]
483,Peter Robinson,,,
484,Günter Grass,1927.0,,"['The Tin Drum', 'Cat and Mouse (novella)', 'Dog Years (novel)', 'Crabwalk', 'The Tin Drum', 'Cat and Mouse (novella)', 'Dog Years (novel)', 'Local Anaesthetic (novel)', 'The Flounder', 'The Meeting at Telgte', 'The Rat (novel)', 'The Call of the Toad', 'My Century', 'Crabwalk']"
